constructorStandingsId,raceId,constructorId,points,position,positionText,wins
"28375,1094,210,36,8,""8"",0"
"28373,1094,6,487,2,""2"",4"
"28380,1094,3,8,10,""10"",0"
"28374,1094,131,447,3,""3"",0"
"28377,1094,214,153,4,""4"",0"
"28379,1094,117,49,7,""7"",0"
"28376,1094,51,53,6,""6"",0"
"28372,1093,9,656,1,""1"",15"
"28383,1095,6,524,2,""2"",4"
"28384,1095,131,505,3,""3"",1"
"28385,1095,210,37,8,""8"",0"
"28386,1095,51,55,6,""6"",0"
"28387,1095,214,167,4,""4"",0"
"28388,1095,213,35,9,""9"",0"
"28389,1095,117,50,7,""7"",0"
"28390,1095,3,8,10,""10"",0"
"28391,1095,1,148,5,""5"",0"
"28392,1095,9,719,1,""1"",16"
"28393,1096,6,554,2,""2"",4"
"28394,1096,131,515,3,""3"",1"
"28395,1096,210,37,8,""8"",0"
"28396,1096,51,55,6,""6"",0"
"28397,1096,214,173,4,""4"",0"
"28398,1096,213,35,9,""9"",0"
"28399,1096,117,55,7,""7"",0"
"28400,1096,3,8,10,""10"",0"
"28401,1096,1,159,5,""5"",0"
"28402,1096,9,759,1,""1"",17"
"28492,1098,1,0,10,""10"",0"
"28491,1098,210,0,9,""9"",0"
"28490,1098,213,0,8,""8"",0"
"28489,1098,3,1,7,""7"",0"
"28488,1098,214,2,6,""6"",0"
"28487,1098,51,4,5,""5"",0"
"28486,1098,131,16,3,""3"",0"
"28485,1098,6,12,4,""4"",0"
"28484,1098,117,23,2,""2"",0"
"28483,1098,9,43,1,""1"",1"
"28444,1100,117,65,2,""2"",0"
"28443,1100,9,123,1,""1"",3"
"28442,1099,1,0,10,""10"",0"
"28440,1099,213,0,9,""9"",0"
"28439,1099,3,1,8,""8"",0"
"28437,1099,51,4,6,""6"",0"
"28435,1099,6,26,4,""4"",0"
"28441,1099,210,1,7,""7"",0"
"28438,1099,214,8,5,""5"",0"
"28434,1099,117,38,2,""2"",0"
"28436,1099,131,38,3,""3"",0"
"28433,1099,9,87,1,""1"",2"
"28445,1100,6,26,4,""4"",0"
"28446,1100,131,56,3,""3"",0"
"28447,1100,51,6,8,""8"",0"
"28448,1100,214,8,6,""6"",0"
"28449,1100,3,1,10,""10"",0"
"28450,1100,213,1,9,""9"",0"
"28451,1100,210,7,7,""7"",0"
"28452,1100,1,12,5,""5"",0"
"28453,1101,9,180,1,""1"",4"
"28454,1101,117,87,2,""2"",0"
"28455,1101,6,62,4,""4"",0"
"28456,1101,131,76,3,""3"",0"
